景观小品,Snippets
灯-低矮路灯,low_lamp
木板,wood
山石,MountainRocks
中型石头01,medium_rock_01
中型石头02,medium_rock_02
大型石头01,big_rock_01
小型石头-碎石,small_rock_crushed
小型石头-鹅卵石01,small_rock_cobble01
小型石头-鹅卵石02,small_rock_cobble02
植物,Vegetations
中乔木-小叶榕树,medium_ficus
低矮乔木-三角梅,low_bougainvillea
低矮灌木-紫花,low_bush_purple
低矮灌木-草丛,low_bush_grass
低矮灌木-草丛2,low_bush_grass2
低矮灌木-草丛3,low_bush_grass3
低矮灌木-草丛4,low_bush_grass4
小乔木-瘦01,small_slim01
小乔木-桃树（粉）,small_peach
小乔木-榕,small_ficus
小乔木-槭树,small_maple
小乔木-槭树2（红）,small_maple2
小乔木-玉兰（粉）,small_magnolia
小乔木-黄花风铃木,small_cassia
水生-荷叶,water_lotus01
水生-荷叶02,water_lotus02
水生-荷花01,water_lotusflower01
水生-荷花02,water_lotusflower02
高大乔木-竹01,tall_bamboo01
高大乔木-竹02,tall_bamboo02
高大乔木-竹03,tall_bamboo03
